std_accX_end,mean_accX_end,median_accX_end,max_angleX_diff
0.650909084,-1.554850012,-1.378999949,8.915362421
0.070554501,-0.014167786,-0.023666382,16.39637565
0,-0.497299194,-0.497299194,0
4.41535243,-4.557087048,-4.014694214,42.92653963
0.145949993,-0.274979213,-0.275054932,69.31688794
0.244550862,0.059781318,0.014572144,87.22082767
1.437724604,2.264279772,2.360754967,48.14046968
0,-4.259414673,-4.259414673,0
0.053297253,-0.273241043,-0.285232544,5.006016725
0,3.814079762,3.814079762,0
0.204952149,-0.010038076,0.015083313,89.73690859
0.182664462,-0.03603008,-0.006156921,89.66280164
0.233485619,-0.204167022,-0.225738525,89.88864469
0,-0.804476321,-0.804476321,0
0.244022794,0.01565866,0.046691895,89.34680641
0.215546904,0.065447184,0.075820923,88.88919385
0.22485335,0.025850315,-0.06300354,86.83033946
0.022634587,-0.752966309,-0.746200562,0.96054438
0.215949736,0.036048282,0.026100159,89.81802335
0.321033073,0.212421709,0.109558105,51.71083684
3.333647094,0.936347499,0.957313538,82.59834298
0.253534343,-0.010174073,0.063468933,89.62037275
