Latitude,Longitude,Date
55.64066602,37.53426366,2018-09-04 23:25:51.107407
55.64236568,37.52690729,2018-09-04 23:26:37.115625
55.64400382,37.52284067,2018-09-04 23:28:14.054000
55.64398699,37.52287998,2018-09-04 23:43:00.885548
55.64398699,37.52287998,2018-09-04 23:43:01.041833
55.63911332,37.53787165,2018-09-04 23:50:25.561621
55.63882155,37.53802141,2018-09-04 23:54:43.732308
55.63881128,37.53808361,2018-09-04 23:55:56.089155
55.63881128,37.53808361,2018-09-05 09:53:20.632689
55.63881128,37.53808361,2018-09-05 09:53:22.351519
55.6384752,37.53741336,2018-09-05 09:53:34.555022
55.64165982,37.52954311,2018-09-05 09:53:35.742560
55.64325768,37.5245776,2018-09-05 09:55:39.242291
55.64533049,37.51969291,2018-09-05 09:56:09.738548
55.64715561,37.51543369,2018-09-05 09:57:19.078993
55.64900771,37.51101632,2018-09-05 09:58:56.815555
55.65086305,37.50663774,2018-09-05 10:00:12.653934
55.65257546,37.50260086,2018-09-05 10:00:53.299513
55.65552431,37.49574792,2018-09-05 10:02:01.583521
55.6576421,37.49104877,2018-09-05 10:02:57.864980
55.65998953,37.48734147,2018-09-05 10:03:21.944464
55.66304762,37.48408223,2018-09-05 10:04:26.479190
55.66585158,37.4852082,2018-09-05 10:05:25.669442
55.66774599,37.48907942,2018-09-05 10:06:55.800230
55.66960376,37.49358234,2018-09-05 10:09:43.195711
55.67166877,37.49732565,2018-09-05 10:11:23.582616
55.67391045,37.50134809,2018-09-05 10:11:48.294763
55.67618983,37.50547623,2018-09-05 10:12:26.562080
55.67817992,37.50902553,2018-09-05 10:13:27.708832
55.68022949,37.51297873,2018-09-05 10:14:37.002264
55.68239977,37.51703716,2018-09-05 10:15:16.455575
55.68470308,37.52116108,2018-09-05 10:15:42.465111
55.68696954,37.52508153,2018-09-05 10:16:10.819988
55.68974609,37.53010606,2018-09-05 10:17:51.756071
55.69195811,37.53419432,2018-09-05 10:21:43.342490
55.69233358,37.53485875,2018-09-05 10:23:21.947751
55.69503817,37.5336895,2018-09-05 10:26:12.740541
55.69726436,37.52987525,2018-09-05 10:28:34.305636
55.69971475,37.53174259,2018-09-05 12:45:24.560399
55.69952635,37.52671709,2018-09-05 12:45:24.747903
55.69971475,37.53174259,2018-09-05 12:45:24.765244
55.69692167,37.52927332,2018-09-05 12:48:11.994691
55.69393754,37.53400901,2018-09-05 12:48:37.011510
55.69134653,37.53200549,2018-09-05 12:49:35.480731
55.69294507,37.53244094,2018-09-05 12:55:49.975612
55.69297799,37.5323464,2018-09-05 14:03:59.423720
55.69297799,37.5323464,2018-09-05 14:41:28.996897
55.6908349,37.53106418,2018-09-05 14:41:34.344465
55.69258474,37.53530073,2018-09-05 14:45:45.946714
55.69486043,37.53851456,2018-09-05 14:46:25.393262
55.69767919,37.54232891,2018-09-05 14:47:22.101349
55.70046538,37.54599763,2018-09-05 14:49:56.435666
55.70309054,37.54938369,2018-09-05 14:50:21.676135
55.70545306,37.55259136,2018-09-05 14:50:47.693216
55.70785533,37.5560084,2018-09-05 14:51:09.330531
55.71059695,37.55974082,2018-09-05 14:51:33.611204
55.71354808,37.56373219,2018-09-05 14:51:54.627775
55.7158371,37.56684139,2018-09-05 14:52:24.676455
55.71740182,37.57116839,2018-09-05 14:52:57.477992
55.71609973,37.57554737,2018-09-05 14:53:31.288750
55.71352859,37.57339757,2018-09-05 14:55:06.366891
55.71385089,37.57234407,2018-09-05 15:03:50.679570
55.71374792,37.57237206,2018-09-05 15:05:22.898460
55.71394532,37.5723211,2018-09-05 15:07:39.990309
55.71382827,37.57230998,2018-09-05 15:10:19.000607
55.71396325,37.57246837,2018-09-05 15:11:35.624383
55.71384612,37.57228791,2018-09-05 15:17:29.720927
55.71384612,37.57228791,2018-09-05 19:29:30.504489
55.71384612,37.57228791,2018-09-05 19:29:31.176349
55.71284406,37.57057666,2018-09-05 19:29:32.457669
55.70980235,37.58214972,2018-09-05 19:30:07.907835
55.70825981,37.57811055,2018-09-05 19:31:05.580795
55.70575284,37.58045341,2018-09-05 19:35:45.934625
55.70272981,37.57939059,2018-09-05 19:38:17.748619
55.69987485,37.57836097,2018-09-05 19:39:19.645161
55.69706847,37.57736641,2018-09-05 19:41:21.083335
55.65079951,37.53358277,2018-09-05 19:59:33.029848
55.64836545,37.5310181,2018-09-05 20:01:19.752158
55.64537629,37.52813398,2018-09-05 20:01:44.083396
55.6423641,37.52691328,2018-09-05 20:03:53.695845
55.64111576,37.53157381,2018-09-05 20:04:28.215032
55.63975942,37.53666062,2018-09-05 20:05:02.644098
55.63914576,37.53806703,2018-09-05 20:16:38.994782
55.63914576,37.53806703,2018-09-06 08:04:06.522688
55.64267476,37.52704906,2018-09-06 08:04:07.288672
55.64552548,37.5285572,2018-09-06 08:05:10.636897
55.64803434,37.53090858,2018-09-06 08:05:35.402491
55.65077999,37.53376661,2018-09-06 08:07:28.131614
55.65363681,37.5368571,2018-09-06 08:07:55.446678
55.65635812,37.53987595,2018-09-06 08:08:42.636445
55.65878576,37.5425286,2018-09-06 08:09:48.903312
55.661142,37.54502412,2018-09-06 08:12:14.595092
55.66372452,37.5477569,2018-09-06 08:16:16.633374
55.66622201,37.55042308,2018-09-06 08:19:02.457397
55.66926874,37.5537374,2018-09-06 08:21:22.119196
55.67167063,37.55622951,2018-09-06 08:23:40.263306
