0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
AIG|AIG|FEFY|FEFY|Yalinga|Yalinga|Yalinga|Yalinga|Central African Republic|Central African Republic|6.520|6.520|23.260|23.260
AIH|AIH|OPKC|OPKC|Aiambak|Aiambak|Aiambak|Aiambak|Papua New Guinea|Papua New Guinea|-7.35|-7.35|141.26666666667|141.26666666667
AII|AII|HDAS|HDAS|Alisabieh|Alisabieh|Alisabieh|Alisabieh|Djibouti|Djibouti|11.133|11.133|42.717|42.717
AIK|AIK|KAIK|KAIK|Municipal|Municipal|Aiken|Aiken|United States|United States|33.649376|33.649376|-81.685036|-81.685036
AIL|AIL|||Ailigandi|Ailigandi|Ailigandi|Ailigandi|Panama|Panama|9.217|9.217|-78.017|-78.017
AIM|AIM|||Ailuk Island|Ailuk Island|Ailuk Island|Ailuk Island|Marshall Islands|Marshall Islands|10.200|10.200|169.983|169.983
AIN|AIN|PAWI|PAWI|Wainwright|Wainwright|Wainwright|Wainwright|United States|United States|70.638000|70.638000|-159.994750|-159.994750
AIO|AIO|KAIO|KAIO|Municipal|Municipal|Atlantic|Atlantic|United States|United States|41.403833|41.403833|-95.048750|-95.048750
AIP|AIP|||Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands|Marshall Islands|7.267|7.267|168.817|168.817
AIR|AIR|||Aripuana|Aripuana|Aripuana|Aripuana|Brazil|Brazil|-10.186389|-10.186389|-59.457500|-59.457500
AIS|AIS|NGTR|NGTR|Arorae Island|Arorae Island|Arorae Island|Arorae Island|Kiribati|Kiribati|-2.616111|-2.616111|176.802500|176.802500
AIT|AIT|NCAI|NCAI|Aitutaki|Aitutaki|Aitutaki|Aitutaki|Cook Islands|Cook Islands|-18.830922|-18.830922|-159.764233|-159.764233
